feature	r2_score	Metadata_number_of_singlecells	DMSO 0.1%_0	Thapsi_10µM
Cytoplasm_Correlation_K_CorrGasdermin_CorrPM	0.012312272798501556	-0.00014635391312832802	0.18521305310386266	-0.18521305310386116
Cytoplasm_Correlation_K_CorrGasdermin_CorrRNA	0.04089375690414876	-0.0006822680871960657	0.0817346676472683	-0.08173466764726764
Cytoplasm_Correlation_K_CorrMito_CorrDNA	0.0054492625764941405	-0.0001543144571241333	0.0946821809392421	-0.09468218093924134
Cytoplasm_Correlation_K_CorrMito_CorrER	0.04939726391135524	-0.0005094511386758382	0.004285679163494371	-0.004285679163494337
Cytoplasm_Correlation_K_CorrMito_CorrGasdermin	0.01617472702690037	-0.00024945669285114734	0.031918677633884236	-0.03191867763388397
Cytoplasm_Correlation_K_CorrMito_CorrPM	0.01368890216576224	-0.0003164541483762183	0.19515101489427877	-0.1951510148942772
Cytoplasm_Correlation_K_CorrMito_CorrRNA	0.02280357288085544	-0.00040670926306921664	0.049068776490963764	-0.04906877649096336
Cytoplasm_Correlation_K_CorrPM_CorrDNA	0.0004083578392761744	-4.2942707543024634e-05	-0.013827191717346931	0.01382719171734682
Cytoplasm_Correlation_K_CorrPM_CorrER	0.10707522385393531	-0.0006988158760122623	-0.06957030961026625	0.06957030961026568
Cytoplasm_Correlation_K_CorrPM_CorrGasdermin	0.008880203809288223	-6.84530654031136e-06	-0.08555222998869448	0.08555222998869379
Cytoplasm_Correlation_K_CorrPM_CorrMito	0.010120000359138959	0.00015423470520277137	-0.12716357411596327	0.12716357411596224
Cytoplasm_Correlation_K_CorrPM_CorrRNA	0.07112677073203255	-0.0005612281268413563	-0.03836957138815812	0.0383695713881578
Cytoplasm_Correlation_K_CorrRNA_CorrDNA	0.012982788464086292	0.00037400191275414554	0.010856403641287721	-0.010856403641287633
Cytoplasm_Correlation_K_CorrRNA_CorrER	0.2804034330369052	-0.0016907840446563494	-0.24556513569468658	0.2455651356946846
Cytoplasm_Correlation_K_CorrRNA_CorrGasdermin	0.01930113768017594	0.00027163179129931854	-0.029477506254740535	0.029477506254740295
