feature	r2_score	Metadata_number_of_singlecells	DMSO 0.1%_0	LPS_10µg_per_ml
Cytoplasm_AreaShape_Zernike_7_7	0.0007781419070185258	0.00013411857557735996	0.007819024057721625	-0.007819024057721547
Cytoplasm_AreaShape_Zernike_8_0	0.0005530791158503412	9.238422247276806e-05	0.012561532599152561	-0.012561532599152433
Cytoplasm_AreaShape_Zernike_8_2	0.0006433404076074956	0.00012336748992896023	0.006933329879902528	-0.0069333298799024575
Cytoplasm_AreaShape_Zernike_8_4	0.0002099908535994066	7.09655052650151e-05	0.0036733477959432752	-0.0036733477959432384
Cytoplasm_AreaShape_Zernike_8_6	1.4446223320585538e-05	-2.0913151775734482e-05	0.0013733535464406678	-0.001373353546440654
Cytoplasm_AreaShape_Zernike_8_8	0.001578161543621559	0.00019865930773504115	0.00861815342682167	-0.008618153426821583
Cytoplasm_AreaShape_Zernike_9_1	0.0005388066905094302	0.00012585916469201223	0.0004485099348953849	-0.0004485099348953804
Cytoplasm_AreaShape_Zernike_9_3	0.0004789607712009092	0.00012288839579765155	-0.0049020719767041586	0.004902071976704109
Cytoplasm_AreaShape_Zernike_9_5	0.00033860305169364224	0.00010165815307797355	-0.0024121532999538363	0.0024121532999538116
Cytoplasm_AreaShape_Zernike_9_7	8.423760165054972e-05	2.7352237182503955e-05	0.006648942555867969	-0.006648942555867903
Cytoplasm_AreaShape_Zernike_9_9	0.0007151059082138866	0.00013899275595348603	0.0034205983196792383	-0.003420598319679203
Cytoplasm_Correlation_Correlation_CorrDNA_CorrER	0.0023857336803594364	-0.00028147380117163757	0.02481180758646194	-0.024811807586461686
Cytoplasm_Correlation_Correlation_CorrDNA_CorrGasdermin	0.004662901164743216	-0.00037743271126175335	-0.012338546014671728	0.012338546014671603
Cytoplasm_Correlation_Correlation_CorrDNA_CorrMito	0.006451788576788964	-0.00045337948483365164	-0.007336943433085309	0.0073369434330852355
Cytoplasm_Correlation_Correlation_CorrDNA_CorrPM	0.002152411158339196	-0.00023645997615730308	0.03611186403881013	-0.03611186403880976
Cytoplasm_Correlation_Correlation_CorrDNA_CorrRNA	0.0032089524237234324	-0.0003315709986936755	0.029028842853472646	-0.029028842853472354
Cytoplasm_Correlation_Correlation_CorrER_CorrGasdermin	0.0031452331894609165	-0.00018908798185334315	0.0510343645499155	-0.05103436454991498
Cytoplasm_Correlation_Correlation_CorrER_CorrMito	0.0033801582740790037	-0.0002396804944564956	0.043735387039981845	-0.0437353870399814
Cytoplasm_Correlation_Correlation_CorrER_CorrPM	0.00419455885145914	-0.00014637290055926353	0.06775626598939931	-0.06775626598939863
Cytoplasm_Correlation_Correlation_CorrER_CorrRNA	0.005415942446095223	-0.00040871821411672443	0.055641718745903734	-0.055641718745903165
Cytoplasm_Correlation_Correlation_CorrGasdermin_CorrMito	0.0005541257014823886	-5.77830270962965e-05	0.02055047884842646	-0.020550478848426253
Cytoplasm_Correlation_Correlation_CorrGasdermin_CorrPM	0.0024450074648290077	-0.0001224174729220476	0.05344487288915306	-0.05344487288915252
Cytoplasm_Correlation_Correlation_CorrGasdermin_CorrRNA	0.0024969356899595674	-5.077131797867954e-05	0.047931799893504795	-0.04793179989350431
Cytoplasm_Correlation_Correlation_CorrMito_CorrPM	0.002045834295047233	-0.00013682694527297637	0.047968443303019026	-0.04796844330301854
Cytoplasm_Correlation_Correlation_CorrMito_CorrRNA	0.0016938105326342878	-0.00011787748635818166	0.034784617830385126	-0.03478461783038477
Cytoplasm_Correlation_Correlation_CorrPM_CorrRNA	0.0026109015542995495	-7.287885409069247e-05	0.05519420894229361	-0.05519420894229306
Cytoplasm_Correlation_K_CorrDNA_CorrER	6.494927124289784e-05	2.141535698506141e-05	-0.0053205413382859034	0.00532054133828585
Cytoplasm_Correlation_K_CorrDNA_CorrGasdermin	0.0001890582879217062	1.5213298810469637e-05	-0.007058242806484408	0.007058242806484337
Cytoplasm_Correlation_K_CorrDNA_CorrMito	0.0002794792046841854	-1.079740907895333e-05	-0.014609046712276762	0.014609046712276613
Cytoplasm_Correlation_K_CorrDNA_CorrPM	0.0020643373659092745	0.00017842963068702438	-0.06084661047216414	0.06084661047216352
Cytoplasm_Correlation_K_CorrDNA_CorrRNA	0.0006945738723005412	7.479016535902292e-05	-0.006200047678115562	0.006200047678115499
Cytoplasm_Correlation_K_CorrER_CorrDNA	0.0002681338755800011	-8.845291482054237e-05	0.008155183389964864	-0.00815518338996478
Cytoplasm_Correlation_K_CorrER_CorrGasdermin	2.563147115997033e-05	9.595263011662407e-07	-0.002719013683705956	0.002719013683705929
Cytoplasm_Correlation_K_CorrER_CorrMito	9.747956915606704e-05	-2.5487178608628713e-05	-0.004951176599274924	0.004951176599274874
Cytoplasm_Correlation_K_CorrER_CorrPM	0.0021789476379147077	0.00020033579779412056	-0.07213741468057115	0.07213741468057042
Cytoplasm_Correlation_K_CorrER_CorrRNA	0.010625568412555464	0.0006909819464622382	-0.03316455199510072	0.033164551995100384
Cytoplasm_Correlation_K_CorrGasdermin_CorrDNA	0.0006862310064041921	-5.552386411572789e-05	0.02725861496168743	-0.027258614961687154
