feature	r2_score	Metadata_number_of_singlecells	DMSO 0.1%_0	Flagellin_0.1µg_per_ml
Cytoplasm_Correlation_Correlation_CorrDNA_CorrER	0.0006403186831528407	0.00014301573696402266	-0.020281970410418584	0.02028197041041869
Cytoplasm_Correlation_Correlation_CorrDNA_CorrGasdermin	0.0024294984692658783	0.00015891725195682553	-0.05155707560382741	0.05155707560382768
Cytoplasm_Correlation_Correlation_CorrDNA_CorrMito	0.0012183248540429403	9.73172348312752e-05	-0.037096518984679624	0.03709651898467982
Cytoplasm_Correlation_Correlation_CorrDNA_CorrPM	0.0009665316663334256	0.00013836148701713554	-0.02954138387468406	0.029541383874684215
Cytoplasm_Correlation_Correlation_CorrDNA_CorrRNA	0.0005898741244664274	0.00012422495314745068	-0.021895826992705283	0.021895826992705397
Cytoplasm_Correlation_Correlation_CorrER_CorrGasdermin	0.000488298612996263	6.2383579478076115e-06	0.02081662407829015	-0.02081662407829026
Cytoplasm_Correlation_Correlation_CorrER_CorrMito	0.00035707303156862213	-5.0261225414947395e-05	0.017082038401552518	-0.017082038401552608
Cytoplasm_Correlation_Correlation_CorrER_CorrPM	0.0011343312854544818	-0.00019616209718751134	0.023350165218686915	-0.023350165218687036
Cytoplasm_Correlation_Correlation_CorrER_CorrRNA	0.001545574927789839	-5.558071026675464e-05	0.04085070380177874	-0.04085070380177896
Cytoplasm_Correlation_Correlation_CorrGasdermin_CorrMito	0.0019234321813377253	9.94255396890383e-05	0.03254493738523993	-0.03254493738524011
Cytoplasm_Correlation_Correlation_CorrGasdermin_CorrPM	0.0006680013364438464	-0.00016450068421241143	-0.0075827276477358155	0.0075827276477358554
Cytoplasm_Correlation_Correlation_CorrGasdermin_CorrRNA	1.975885948102274e-05	2.4426541247420885e-05	0.001116181308547233	-0.001116181308547239
Cytoplasm_Correlation_Correlation_CorrMito_CorrPM	0.0015021281765390526	-0.00022730707120385742	-0.017106305495475187	0.017106305495475278
