group1,group2,meandiff,lower,upper,reject,p-adj,cytokine,group,-log10(p-adj),significant,apoptotic,pyroptotic,apoptotic_vs_pyroptotic,consensus
healthy,pyroptosis,0.0093,-0.1038,0.1225,False,0.941,CCL17 [NSU],healthy_pyroptosis,0.0264103765727431,False,False,False,False,none
apoptosis,healthy,-0.051,-0.2831,0.1811,False,0.6515,CCL18 [NSU],apoptosis_healthy,0.1860855799513965,False,False,False,False,none
apoptosis,pyroptosis,0.1409,-0.0916,0.3733,False,0.042,CCL18 [NSU],apoptosis_pyroptosis,1.3767507096020994,True,False,False,True,apoptotic_vs_pyroptotic
healthy,pyroptosis,0.1919,0.0886,0.2951,True,0.0,CCL18 [NSU],healthy_pyroptosis,4.0,True,False,True,False,pyroptotic
apoptosis,healthy,-0.0127,-0.2735,0.2481,False,0.9791,CCL19 [NSU],apoptosis_healthy,0.0091729494325211,False,False,False,False,none
apoptosis,pyroptosis,0.1062,-0.155,0.3673,False,0.2341,CCL19 [NSU],apoptosis_pyroptosis,0.6305985863033756,False,False,False,False,none
healthy,pyroptosis,0.1189,0.0029,0.2349,True,0.0002,CCL19 [NSU],healthy_pyroptosis,3.6989700043360183,True,False,True,False,pyroptotic
apoptosis,healthy,-0.327,-0.7546,0.1007,False,0.007,CCL2 [NSU],apoptosis_healthy,2.154901959985743,True,True,False,False,apoptotic
apoptosis,pyroptosis,-0.1358,-0.564,0.2925,False,0.4115,CCL2 [NSU],apoptosis_pyroptosis,0.3856301604517114,False,False,False,False,none
healthy,pyroptosis,0.1912,0.001,0.3814,True,0.0002,CCL2 [NSU],healthy_pyroptosis,3.6989700043360183,True,False,True,False,pyroptotic
apoptosis,healthy,-0.0052,-0.3113,0.3008,False,0.9974,CCL20 [NSU],apoptosis_healthy,0.0011306361176558,False,False,False,False,none
apoptosis,pyroptosis,0.6178,0.3113,0.9242,True,0.0,CCL20 [NSU],apoptosis_pyroptosis,4.0,True,False,False,True,apoptotic_vs_pyroptotic
healthy,pyroptosis,0.623,0.4869,0.7591,True,0.0,CCL20 [NSU],healthy_pyroptosis,4.0,True,False,True,False,pyroptotic
apoptosis,healthy,0.0663,-0.2139,0.3464,False,0.6088,CCL21 [NSU],apoptosis_healthy,0.2155253562374836,False,False,False,False,none
apoptosis,pyroptosis,0.0689,-0.2116,0.3494,False,0.5856,CCL21 [NSU],apoptosis_pyroptosis,0.2323989319496645,False,False,False,False,none
healthy,pyroptosis,0.0026,-0.122,0.1272,False,0.996,CCL21 [NSU],healthy_pyroptosis,0.0017406615763012,False,False,False,False,none
apoptosis,healthy,-0.6329,-0.8832,-0.3825,True,0.0,CCL22 [NSU],apoptosis_healthy,4.0,True,True,False,False,apoptotic
apoptosis,pyroptosis,-0.5016,-0.7523,-0.251,True,0.0,CCL22 [NSU],apoptosis_pyroptosis,4.0,True,False,False,True,apoptotic_vs_pyroptotic
healthy,pyroptosis,0.1312,0.0199,0.2426,True,0.0,CCL22 [NSU],healthy_pyroptosis,4.0,True,False,True,False,pyroptotic
apoptosis,healthy,0.0483,-0.2073,0.3039,False,0.728,CCL23 [NSU],apoptosis_healthy,0.1378686206869628,False,False,False,False,none
apoptosis,pyroptosis,0.0104,-0.2455,0.2664,False,0.9853,CCL23 [NSU],apoptosis_pyroptosis,0.0064315172102725,False,False,False,False,none
healthy,pyroptosis,-0.0379,-0.1516,0.0758,False,0.3752,CCL23 [NSU],healthy_pyroptosis,0.4257371702929732,False,False,False,False,none
apoptosis,healthy,-0.7744,-0.8811,-0.6677,True,0.0,CCL24 [NSU],apoptosis_healthy,4.0,True,True,False,False,apoptotic
apoptosis,pyroptosis,-0.8704,-0.9773,-0.7636,True,0.0,CCL24 [NSU],apoptosis_pyroptosis,4.0,True,False,False,True,apoptotic_vs_pyroptotic
healthy,pyroptosis,-0.096,-0.1435,-0.0486,True,0.0,CCL24 [NSU],healthy_pyroptosis,4.0,True,False,True,False,pyroptotic
apoptosis,healthy,-0.0656,-0.3629,0.2316,False,0.6488,CCL25 [NSU],apoptosis_healthy,0.1878891587969003,False,False,False,False,none
apoptosis,pyroptosis,-0.0642,-0.3619,0.2335,False,0.6618,CCL25 [NSU],apoptosis_pyroptosis,0.1792732371761657,False,False,False,False,none
healthy,pyroptosis,0.0014,-0.1308,0.1337,False,0.9989,CCL25 [NSU],healthy_pyroptosis,0.0004779868710962,False,False,False,False,none
apoptosis,healthy,0.0375,-0.201,0.276,False,0.8027,CCL27 [NSU],apoptosis_healthy,0.0954467370232272,False,False,False,False,none
apoptosis,pyroptosis,0.0559,-0.183,0.2948,False,0.6151,CCL27 [NSU],apoptosis_pyroptosis,0.2110542729762522,False,False,False,False,none
healthy,pyroptosis,0.0184,-0.0877,0.1245,False,0.765,CCL27 [NSU],healthy_pyroptosis,0.1163385648463823,False,False,False,False,none
