,Treatments,oneb_Metadata_Treatment_Dose_Inhibitor_Dose,correlation
153,Topotecan_5.000_DMSO_0.025,DMSO_0.100_Z-VAD-FMK_30.000,0.9865326882547021
154,media ctr_nan_Media ctr_nan,DMSO_0.100_Z-VAD-FMK_30.000,0.986383203732178
155,media ctr_nan_Media_nan,DMSO_0.100_Z-VAD-FMK_30.000,0.9864566628189153
156,DMSO_0.100_DMSO_0.025,Disulfiram_0.100_DMSO_0.025,0.812732897451367
157,DMSO_0.100_DMSO_1.000,Disulfiram_0.100_DMSO_0.025,0.9853157449939205
158,DMSO_0.100_Z-VAD-FMK_100.000,Disulfiram_0.100_DMSO_0.025,0.9862614501379501
159,DMSO_0.100_Z-VAD-FMK_30.000,Disulfiram_0.100_DMSO_0.025,0.9908261137351225
160,Disulfiram_0.100_DMSO_0.025,Disulfiram_0.100_DMSO_0.025,1.0
161,Disulfiram_1.000_DMSO_0.025,Disulfiram_0.100_DMSO_0.025,0.9990262902895208
162,Disulfiram_2.500_DMSO_0.025,Disulfiram_0.100_DMSO_0.025,0.9984360716547969
163,Flagellin_0.100_DMSO_0.000,Disulfiram_0.100_DMSO_0.025,0.9934122326486303
164,Flagellin_0.100_DMSO_0.025,Disulfiram_0.100_DMSO_0.025,0.9954415884668487
165,Flagellin_1.000_DMSO_0.000,Disulfiram_0.100_DMSO_0.025,0.9968200974832194
166,Flagellin_1.000_DMSO_0.025,Disulfiram_0.100_DMSO_0.025,0.9970420515882223
167,Flagellin_1.000_Disulfiram_1.000,Disulfiram_0.100_DMSO_0.025,0.996718113896225
168,H2O2_100.000_DMSO_0.025,Disulfiram_0.100_DMSO_0.025,0.9986126402162065
169,H2O2_100.000_Disulfiram_1.000,Disulfiram_0.100_DMSO_0.025,0.9984341182847624
170,H2O2_100.000_Z-VAD-FMK_100.000,Disulfiram_0.100_DMSO_0.025,0.9980015354132207
171,LPS_0.010_DMSO_0.025,Disulfiram_0.100_DMSO_0.025,0.9903913803829969
172,LPS_0.100_DMSO_0.025,Disulfiram_0.100_DMSO_0.025,0.9929875427835572
173,LPS_1.000_DMSO_0.025,Disulfiram_0.100_DMSO_0.025,0.9963624068830141
174,LPS_10.000_DMSO_0.025,Disulfiram_0.100_DMSO_0.025,0.997016509216453
175,LPS_10.000_Disulfiram_0.100,Disulfiram_0.100_DMSO_0.025,0.9972872316946889
176,LPS_10.000_Disulfiram_1.000,Disulfiram_0.100_DMSO_0.025,0.9972338768820149
177,LPS_10.000_Disulfiram_2.500,Disulfiram_0.100_DMSO_0.025,0.9972898313273489
178,LPS_10.000_Z-VAD-FMK_100.000,Disulfiram_0.100_DMSO_0.025,0.9980403603337518
179,LPS_100.000_DMSO_0.025,Disulfiram_0.100_DMSO_0.025,0.9972265080554823
180,LPS_Nigericin_1.000_1.000_DMSO_0.025,Disulfiram_0.100_DMSO_0.025,0.9958618227153051
181,LPS_Nigericin_1.000_10.000_DMSO_0.025,Disulfiram_0.100_DMSO_0.025,0.994772093502012
182,LPS_Nigericin_1.000_10.000_Disulfiram_1.000,Disulfiram_0.100_DMSO_0.025,0.9968851417432939
183,LPS_Nigericin_1.000_10.000_Z-VAD-FMK_100.000,Disulfiram_0.100_DMSO_0.025,0.9968238625276497
184,LPS_Nigericin_1.000_3.000_DMSO_0.025,Disulfiram_0.100_DMSO_0.025,0.9958032414204863
